机械|安全|作业|要求|包括|：|在|符合|许可|范围|内|操作|；|使用|合适|器械|作业|；|设备|作业|要|有|专人|指挥|。,n|an|vn|n|v|w|p|v|vn|n|f|v|w|v|a|n|n|w|n|vn|v|v|n|v|w|w
保管|人|储存|存货|人|交付|的|仓储物|，|存货|人|支付|仓储费|的|合同|称为|仓储|合同,v|n|v|n|n|v|u|n|w|n|n|v|n|u|n|v|vn|n|w
合同|自|双方|达成|合意|时|成立|的|合同|称为|诺成|合同,n|p|n|v|a|n|v|u|n|v|PER|n|w
仓储|货品|的|验收|问题|的|主要|内容|包括|：|验收|项目|，|验收|方法|，|验收|期限|。,vn|n|u|vn|n|u|a|n|v|w|vn|n|w|vn|n|w|vn|n|w|w
验收|期限|是|指|自从|物品|和|验收|资料|全部|送达|保管|人|之|日起|，|至|验收|报告|送出|之|日|止|的|时间|。,vn|n|v|v|p|n|c|vn|n|n|v|v|n|u|v|w|p|vn|n|v|u|n|v|u|n|w|w
仓储|合同|的|验收|有|三点|：|一|是|验收|项目|、|二|是|验收|方法|、|三|是|验收|期限|。,vn|n|u|vn|v|TIME|w|m|v|vn|n|w|m|v|vn|n|w|m|v|vn|n|w|w
用|发生|的|各种|事故|的|大小|和|次数|来|表示|物品|储存|的|安全性|指标|，|主要|有|人身伤亡|、|仓库|失火|、|爆炸|、|被盗|、|机械|损坏|事故|几类|。,p|v|u|r|n|u|n|c|n|v|v|n|v|u|n|n|w|ad|v|vn|w|n|v|w|vn|w|v|w|n|v|n|m|w|w
仓储|企业|在|储存|物品|过程|中|，|包含|装卸|搬运|、|存储|保管|、|流通|加工|、|收发|物品|等|各|个|环节|，|和|建造|、|购置|仓库|等|设施|设备|所|消耗|的|人力|、|物力|、|财力|及|风险|成本|的|总和|是|指|仓储|成本|。,vn|n|p|vn|n|n|f|w|v|vn|vn|w|vn|vn|w|vn|vn|w|vn|n|u|r|q|n|w|c|vn|w|v|n|u|n|n|u|v|u|n|w|n|w|n|c|n|n|u|n|v|v|vn|n|w|w
物流|成本|的|重要|组成|部分|也|叫|仓储|成本|，|它|直接|影响|物流|成本|的|高低|。,n|n|u|a|vn|n|d|v|vn|n|w|r|ad|v|n|n|u|n|w|w
仓储|成本|主要|指|货物|保管|的|各种|支出|，|其中|一部|分为|仓储|设施|和|设备|的|投资|，|另|一部分|则|为|仓储|保管|作业|中|的|活劳动|或者|物化|劳动|的|消耗|，|消耗|主要|包括|工资|和|能源|消耗|等|。,vn|n|ad|v|n|v|u|r|n|w|f|m|v|vn|n|c|n|u|vn|w|r|n|d|v|vn|vn|vn|f|u|n|c|vn|vn|u|vn|w|vn|ad|v|n|c|n|vn|u|w|w
材料|、|燃料|和|动力|消耗|指标|；|平均|储存|费用|反映|仓储|作业|消耗|的|指标,n|w|n|c|n|vn|n|w|a|vn|n|v|vn|n|v|u|n|w
仓储|作业|质量|的|指标|包含|：|货|损|货|差率|；|设备|完好率|；|保管|损耗率|；|账务|差异率|；|收|发货|差错率|。,vn|n|n|u|n|v|w|n|v|n|n|w|n|n|w|v|n|w|n|n|w|v|vn|n|w|w
物品|吞吐量|；|平均|收|发货|时间|；|物品|及时|验收率|；|全员|劳动生产率|；|库存|物品|的|周转率|；|仓库|作业|效率|。|反映|仓储|作业|效率|的|指标,n|n|w|ad|v|vn|n|w|n|a|n|w|n|nz|w|n|n|u|n|w|n|vn|n|w|v|vn|vn|n|u|n|w
仓储|作业效益|的|指标|包含|：|工资|利润率|；|成本|利润率|；|资金|利润率|；|利润|总额|；|收入|利润率|；|每吨|物品|保管|利润|。,vn|n|u|n|v|w|n|n|w|n|n|w|n|n|w|n|n|w|n|n|w|r|n|v|n|w|w
仓储|作业|设施|设备|利用|程度|的|指标|包含|：|仓库|货物|周转率|；|单位|面积|储存|量|；|仓库|空间|利润率|；|设备|利润率|。,vn|vn|n|n|vn|n|u|n|v|w|n|n|n|w|n|n|vn|n|w|n|n|n|w|n|n|w|w
衡量|仓储|企业|经营|管理|水平|和|管理|质量|高低|的|重要|标志|是|仓储|成本|。,v|vn|n|vn|vn|n|c|vn|n|n|u|a|n|v|vn|n|w|w
成本|的|性质|包括|固定成本|和|变动|成本|两|部分|。,n|u|n|v|n|c|vn|n|m|n|w|w
仓储|成本|分析|与|控制|包括|：| |存储|成本|分析|与|控制|；|装卸搬运作业成本分析|与|控制|；|备货|作业|成本|分析|与|控制|；|人工费用|的|分析|与|控制|；|包装|作业|成本|分析|与|控制|；|机具|物料|和|燃料|的|成本|控制|；|提高|仓储|服务|质量|，|降低|仓储|成本|；|降低|机会|成本|和|风险|成本|。,vn|n|vn|c|vn|v|w|w|vn|n|vn|c|vn|w|nz|c|vn|w|vn|vn|n|vn|c|vn|w|nz|u|vn|c|vn|w|n|vn|n|vn|c|vn|w|n|n|c|n|u|n|vn|w|v|vn|vn|n|w|v|vn|n|w|v|n|n|c|n|n|w|w
装卸|搬运|作业|成本|分析|与|控制|包含|以下|方面|：|合理|选择|装卸搬运机具|；|提高|物品|装卸|搬运|的|活性化|与|可|运性|；|利用|重力|作用|，|减少|能量|消耗|；|合理|选择|装卸|搬运|方式|；|改进|装卸|搬运|作业|方法|。,v|v|n|n|vn|c|vn|v|f|n|w|ad|v|nz|w|v|n|v|v|u|vn|c|v|n|w|v|n|n|w|v|n|vn|w|ad|v|vn|vn|n|w|v|vn|vn|vn|n|w|w
备货|作业|成本|分析|与|控制|包括|：|合理|选择|备货|作业|方式|；|合理|安排|仓储|空间|，|降低|备货|成本|；|加强|货位管理|，|提高|备货|作业|效率|。,vn|vn|n|vn|c|vn|v|w|ad|v|vn|vn|n|w|ad|v|vn|n|w|v|vn|n|w|v|nz|w|v|vn|vn|n|w|w
合理|选择|备货|作业|方式|包括|：|全面|分拣|、|批处理|分拣|、|分区|分拣|、|分组|分拣|。,ad|v|vn|vn|n|v|w|ad|v|w|vn|vn|w|vd|v|w|vd|v|w|w
使用|物美价廉|的|包装材料|；|包装|作业|机械化|，|提高|包装|效率|；|采用|大|包装|，|尽量|使|包装|简单化|，|节约|包装材料|；|利用|原有|包装|，|加|贴|新|标签|。|组成|了|包装|作业|成本|分析|与|控制|的|主要|内容|。,v|a|u|n|w|n|vn|vn|w|v|vn|n|w|v|a|n|w|d|v|n|v|w|v|n|w|v|vn|n|w|v|v|a|n|w|v|u|vn|vn|n|vn|c|vn|u|a|n|w|w
企业|资源|计划|，|由| |Gartner Group 公司|于|1990年|提出|。|企业|资源|计划|是| |MRP II|下一代|的|制造业|系统|和|资源|计划|软件|。,n|n|n|w|p|w|ORG|p|TIME|v|w|n|n|n|v|w|nz|n|u|n|n|c|n|n|n|w|w
MRP|是|一种|保证|既不|出现|短缺|，|也|不|积压|库存|的|计划|方法|，|是|ERP|系统|的|核心|功能|模块|。,nz|v|m|vn|d|v|vn|w|d|d|v|n|u|vn|n|w|v|nz|n|u|n|n|n|w|w
MRP|包含|：|原料|、|生产|、|销售|、|产品结构|。,nz|v|w|n|w|vn|w|vn|w|n|w|w
运输|管理|系统|是|一种|“|供应链|”|分组|下|的|操作|软件|。|它|能|通过|多种|方法|和|其他|相关|的|操作|一起|提高|物流|的|管理|能力|；,vn|vn|n|v|m|w|n|w|vn|f|u|vn|n|w|r|v|p|m|n|c|r|v|u|vn|d|v|n|u|vn|n|w|w
TMS|的|功能|模块|包括|：|调度|管理|、|车辆|管理|、|配件|管理|、|油耗|管理|、|费用|结算|、|人员|管理|、|资源|管理|、|财务|核算|、|绩效|考核|、|车辆|跟踪|、|业务|跟踪|、|业务|统计|、|白卡|管理|、|监控|中心|系统|、|账单|查询|等,nz|u|n|n|v|w|vn|vn|w|n|vn|w|n|vn|w|n|vn|w|n|vn|w|n|vn|w|n|vn|w|n|vn|w|n|vn|w|n|v|w|n|v|w|n|vn|w|n|vn|w|vn|n|n|w|n|vn|u|w
ERP|的|功能|模块|包含|：|供应链|管理|、|销售|与|市场|、|分销|、|客户|服务|、|财务|管理|、|制造|管理|、|库存|管理|、|工厂|与|设备|维护|、|人力资源|、|报表|、|制造|执行|系统|、|工作流|服务|和|企业|信息系统|等|。|此外|，|还|包括|金融|投资|管理|、|质量|管理|、|运输|管理|、|项目|管理|、|法规|与|标准|和|过程|控制|等|补充|功能|。,nz|u|n|n|v|w|n|vn|w|vn|c|n|w|vn|w|n|vn|w|n|vn|w|vn|vn|w|vn|vn|w|n|c|n|vn|w|n|w|n|w|v|vn|n|w|n|vn|c|n|n|u|w|c|w|d|v|n|vn|vn|w|n|vn|w|vn|vn|w|n|vn|w|n|c|n|c|n|vn|u|vn|n|w|w
入库|作业|管理|有|：|收|货|；|组盘|和|注册|；|上架,vn|vn|vn|v|w|v|n|w|nz|c|vn|w|v|w
WCS| |即|仓库|控制系统|，|是|介于|WMS|系统|和|PLC|系统|之间|的|一层|管理|控制系统|。,nz|w|v|n|n|w|v|v|nz|n|c|nz|n|f|u|m|vn|n|w|w
